0	INHIBITOR	*	<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules [[ gefitinib ]] (Iressa, ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).
1	INHIBITOR	*	<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib ([[ Iressa ]], ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).
2	INHIBITOR	*	<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib (Iressa, [[ ZD1839 ]]) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).
3	INHIBITOR	*	<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and [[ erlotinib ]] (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).
4	INHIBITOR	*	<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib ([[ Tarceva ]], OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).
5	INHIBITOR	*	<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib (Tarceva, [[ OSI-774 ]]), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).
6	INHIBITOR	*	<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as [[ cetuximab ]] (IMC-225, Erbitux).
7	INHIBITOR	*	<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab ([[ IMC-225 ]], Erbitux).
8	INHIBITOR	*	<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, [[ Erbitux ]]).
9	INHIBITOR	*	Agents that have only begun to undergo clinical evaluation include << CI-1033 >>, an irreversible pan-[[ erbB ]] tyrosine kinase inhibitor, and PKI166 and GW572016, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and Her2).
